school_code,school_name,category,management,edu_district,sub_district,local_body,classes_approved,students_total,students_lp,students_up,teaching_staff_total,teaching_staff_lp,teaching_staff_up,teaching_staff_lp_up_shared,teaching_staff_hs,teaching_staff_unclassified,non_teaching_total,reported_total_employees,staff_data_status,total_reconciles,has_hss,has_vhse,source_url,fetched_at
18448,G.M.L.P.S. Irumbuzhi,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,256,256,0,12,9,0,2,1,0,1,13,ok,true,false,false,https://sametham.kite.kerala.gov.in/18448,2026-08-14T10:06:40.365322+00:00
18449,G.M.L.P.S. Kolmanna,LPS,Government,Malappuram,Malappuram,Malappuram (M),1 - 4,54,54,0,3,3,0,0,0,0,0,3,ok,true,false,false,https://sametham.kite.kerala.gov.in/18449,2026-08-14T10:06:42.358223+00:00
18450,G.M.L.P.S. Kuttasserikulamba,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,258,258,0,13,9,0,3,1,0,1,14,ok,true,false,false,https://sametham.kite.kerala.gov.in/18450,2026-08-14T10:06:44.363166+00:00
18451,G.M.L.P.S. Melmuri Central,LPS,Government,Malappuram,Malappuram,Malappuram (M),1 - 4,75,75,0,5,3,0,2,0,0,1,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18451,2026-08-14T10:06:46.367647+00:00
18452,G.M.L.P.S. Ponmala,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,51,51,0,5,3,0,2,0,0,1,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18452,2026-08-14T10:06:48.842984+00:00
18461,G.M.L.P.S. Pookottur,UPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 5,74,61,13,4,4,0,0,0,0,1,5,ok,true,false,false,https://sametham.kite.kerala.gov.in/18461,2026-08-14T10:06:50.503664+00:00
18471,G.M.U.P.S. Chemmankadavu,UPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 7,733,176,557,36,8,15,8,5,0,2,38,ok,true,false,false,https://sametham.kite.kerala.gov.in/18471,2026-08-14T10:06:52.405134+00:00
18472,G.M.U.P.S. Irumbuzhi,UPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 7,1060,421,639,43,12,16,10,5,0,4,47,ok,true,false,false,https://sametham.kite.kerala.gov.in/18472,2026-08-14T10:06:54.391586+00:00
18473,G.M.U.P.S. Kottakkal,UPS,Government,Malappuram,Malappuram,Kottakkal (M),1 - 7,720,289,431,27,11,8,6,2,0,2,29,ok,true,false,false,https://sametham.kite.kerala.gov.in/18473,2026-08-14T10:06:56.387457+00:00
18474,G.M.U.P.S. Melmuri,UPS,Government,Malappuram,Malappuram,Malappuram (M),1 - 7,895,491,404,32,15,8,7,2,0,2,34,ok,true,false,false,https://sametham.kite.kerala.gov.in/18474,2026-08-14T10:06:58.423776+00:00
