school_code,school_name,category,sub_district,students_lp,students_up,divisions_lp,divisions_up,divisions_total,staff_lp,staff_up,staff_lp_up_shared,staff_counted,imbalance,verdict,fixation_2026_27
18717,GLPS Kappumugham,LPS,Perinthalmanna,129,0,7,0,7,5,0,2,7,0,balanced,
18728,GLPS Parakkalmukku,LPS,Perinthalmanna,75,0,4,0,4,3,0,1,4,0,balanced,
18736,GMLPS Puthur,LPS,Perinthalmanna,231,0,11,0,11,9,0,2,11,0,balanced,
18737,GMLPS Thazhekode,LPS,Perinthalmanna,511,0,19,0,19,16,0,3,19,0,balanced,received teachers
19016,G. B. H. S. S. Tirur,HSS,Tirur,0,405,0,14,14,0,11,3,14,0,balanced,received teachers
19067,G. H. S. S. Cheriyamundam,HSS,Tanur,0,114,0,4,4,0,3,1,4,0,balanced,
19208,G. L. P. S. Kaladi,LPS,Edappal,181,0,8,0,8,6,0,2,8,0,balanced,
19214,G. L. P. S. Mookkuthala,LPS,Edappal,180,0,8,0,8,7,0,1,8,0,balanced,
19222,G. L. P. S. Perumparamba,LPS,Edappal,151,0,8,0,8,6,0,2,8,0,balanced,
19223,G. L. P. S. Polpakkara,LPS,Edappal,39,0,4,0,4,3,0,1,4,0,balanced,
19231,Uliyathu Aboobacker Memmorial G. L. P. S. Vadakkummuri,LPS,Edappal,68,0,4,0,4,2,0,2,4,0,balanced,
19233,G. M. L. P. S. Vadakkummuri,LPS,Edappal,25,0,4,0,4,3,0,1,4,0,balanced,received teachers
19243,Govt L.P.School Kololomba,UPS,Edappal,30,13,4,1,5,3,0,2,5,0,balanced,
19249,G. U. P. S. Kololamba,UPS,Edappal,114,231,5,9,14,4,7,3,14,0,balanced,
19251,G. U. P. S. Othalur,UPS,Edappal,66,114,4,6,10,4,4,2,10,0,balanced,
19304,G. M. L. P. S. Ayirani,LPS,Kuttippuram,77,0,4,0,4,3,0,1,4,0,balanced,
19308,G. L. P. S. Cheruparamba,LPS,Kuttippuram,212,0,8,0,8,6,0,2,8,0,balanced,received teachers
19310,G. L. P. S. Chottur,LPS,Kuttippuram,211,0,8,0,8,6,0,2,8,0,balanced,received teachers
19315,G. M. L. P. S. Kalpakancheri,LPS,Kuttippuram,53,0,4,0,4,3,0,1,4,0,balanced,
19332,G. M. L. P. S. Manhachola,LPS,Kuttippuram,64,0,4,0,4,3,0,1,4,0,balanced,
19335,G. L. P. S. Mankeri,LPS,Kuttippuram,97,0,5,0,5,4,0,1,5,0,balanced,
19339,G. L. P. S. Naduvattam,LPS,Kuttippuram,222,0,9,0,9,6,0,3,9,0,balanced,
