school_code,school_name,category,sub_district,lp_up_students,lp_up_teachers,lp_up_ptr,review_flag
19699,G. U. P. S Niramaruthur,UPS,Tanur,993,36,27.6,
48452,Amarambalam South GUPS,UPS,Nilambur,386,14,27.6,
19871,GUPS Thenhippalam,UPS,Vengara,634,23,27.6,
48469,Paramba G U P S,UPS,Nilambur,851,31,27.5,
19451,G. H. S. Trikkulam,HS,Parappanangadi,713,26,27.4,
19324,G. M. L. P. S. Kanancheri,LPS,Kuttippuram,82,3,27.3,
19804,GMLPS Cherukunnu,LPS,Vengara,82,3,27.3,
48545,Chadangamkulam GLPS,UPS,Wandoor,326,12,27.2,
19775,G. U. P. S. Purathur,UPS,Tirur,1113,41,27.1,
48410,Edivanna Estate GLPS,LPS,Nilambur,217,8,27.1,
19663,G. L. P. S. Pariyapuram,UPS,Tanur,271,10,27.1,
18301,G.M.L.P.S. Akkode,LPS,Kondotty,81,3,27.0,
18349,G.L.P.S. Paravoor,LPS,Kondotty,54,2,27.0,
48482,Pulliyil GUPS,UPS,Nilambur,540,20,27.0,
48521,Mundakkode GLPS,LPS,Wandoor,108,4,27.0,
18664,G U P S Mankada Pallippuram,UPS,Mankada,647,24,27.0,
18737,GMLPS Thazhekode,LPS,Perinthalmanna,511,19,26.9,
48077,G H S S Moothedath,HSS,Nilambur,511,19,26.9,
18316,G.L.P.S. Karad,LPS,Kondotty,267,10,26.7,
48501,Adakkakundu GLPS,LPS,Wandoor,160,6,26.7,
48431,GMLPS Nilambur,LPS,Nilambur,533,20,26.6,
19042,G. H. S. S. Perassannur,HSS,Kuttippuram,373,14,26.6,
19308,G. L. P. S. Cheruparamba,LPS,Kuttippuram,212,8,26.5,
18368,G.H.S. Chaliyappuram,HS,Kondotty,662,25,26.5,
48253,GUPS Chengara,UPS,Areacode,503,19,26.5,
19310,G. L. P. S. Chottur,LPS,Kuttippuram,211,8,26.4,
18028,G V H S S Nellikuth,VHSE,Manjeri,893,34,26.3,
18666,Govt. U P School Pang,UPS,Mankada,893,34,26.3,
18375,G.M.U.P.S. Ozhukur,UPS,Kondotty,1204,46,26.2,
19313,G. M. L. P. S. Kallarmangalam,LPS,Kuttippuram,157,6,26.2,
48203,GLPS Chemrakattur,LPS,Areacode,340,13,26.2,
18437,G.L.P.S. Malappruam,LPS,Malappuram,261,10,26.1,
